"scenario","flipped_edges","n_flipped","cfi","tli","rmsea","srmr","aic","bic"
"combo_0","(none -- baseline)",0,0.979173073285767,0.962511531914381,0.0855283782141379,0.0390920507271112,-4790.01366171804,-4670.80133142682
"combo_1","politics -> belief_concern",1,0.979173073285624,0.962511531914123,0.0855283782144321,0.039092050727118,-4790.01366171804,-4670.80133142682
"combo_2","policy_support -> social_norms",1,0.978399816904537,0.959073337292807,0.0893644025503036,0.0462843278360863,-4784.2175177565,-4660.23669425363
"combo_4","social_norms -> climate_behavior",1,0.980990390190454,0.965782702342817,0.0817116996067725,0.0363618249104604,-4801.04693727771,-4681.8346069865
"combo_8","harm_future -> harm_present",1,0.979173073285535,0.962511531913962,0.0855283782146155,0.0390920507271181,-4790.01366171804,-4670.80133142682
"combo_10","policy_support -> social_norms; harm_future -> harm_present",2,0.978399817306786,0.959073338054962,0.0893644017182105,0.0462842243987621,-4784.21751775634,-4660.23669425348
"combo_12","social_norms -> climate_behavior; harm_future -> harm_present",2,0.980990390190412,0.965782702342742,0.0817116996068623,0.0363618249104604,-4801.04693727771,-4681.8346069865
"combo_3","politics -> belief_concern; policy_support -> social_norms",2,0.978399817182425,0.959073337819331,0.0893644019754634,0.046283872290477,-4784.21751775445,-4660.23669425158
"combo_5","politics -> belief_concern; social_norms -> climate_behavior",2,0.980990390190437,0.965782702342787,0.0817116996068082,0.036361824910458,-4801.04693727771,-4681.8346069865
"combo_6","policy_support -> social_norms; social_norms -> climate_behavior",2,0.980618262784039,0.96511287301127,0.0825076073435339,0.039399079180801,-4798.7981109069,-4679.58578061569
"combo_9","politics -> belief_concern; harm_future -> harm_present",2,0.979173073285744,0.96251153191434,0.0855283782141849,0.0390920507271138,-4790.01366171805,-4670.80133142683
"combo_11","politics -> belief_concern; policy_support -> social_norms; harm_future -> harm_present",3,0.978399816206287,0.959073335969808,0.0893644039947042,0.0462839302218867,-4784.21751775364,-4660.23669425078
"combo_13","politics -> belief_concern; social_norms -> climate_behavior; harm_future -> harm_present",3,0.980990390190417,0.96578270234275,0.0817116996068526,0.0363618249104604,-4801.04693727771,-4681.8346069865
"combo_14","policy_support -> social_norms; social_norms -> climate_behavior; harm_future -> harm_present",3,0.980618262784102,0.965112873011384,0.0825076073433989,0.039399079180801,-4798.7981109069,-4679.58578061569
"combo_7","politics -> belief_concern; policy_support -> social_norms; social_norms -> climate_behavior",3,0.980618262784219,0.965112873011594,0.0825076073431513,0.039399079180801,-4798.7981109069,-4679.58578061568
"combo_15","politics -> belief_concern; policy_support -> social_norms; social_norms -> climate_behavior; harm_future -> harm_present",4,0.980618262783963,0.965112873011134,0.0825076073436952,0.0393990791808025,-4798.7981109069,-4679.58578061568
